Transaction_ID,Transaction_Date,Transaction_Time,Customer_ID,Amount,Payment_Method,Transaction_Type,Location,Device_Type,Merchant_Category,Customer_Age,Transaction_Status,Fraud_Flag
TXN100045,2026-01-08,06:52,CUST1027,100.94,Credit Card,Money Transfer,Chennai,Mobile,Fashion,38,Successful,0
TXN100046,2026-01-09,17:55,CUST1175,391.76,Debit Card,Online Purchase,Mumbai,Mobile,Grocery,52,Successful,0
TXN100047,2026-01-09,03:10,CUST1123,159.54,UPI,Bill Payment,Coimbatore,Mobile,Utilities,58,Successful,0
TXN100048,2026-01-09,13:08,CUST1134,196.42,Debit Card,Online Purchase,Coimbatore,Mobile,Fashion,57,Successful,0
TXN100049,2026-01-09,17:33,CUST1188,71.63,Net Banking,Bill Payment,Bengaluru,Desktop,Electronics,20,Successful,0
TXN100050,2026-01-09,08:11,CUST1045,160.38,Debit Card,Bill Payment,Mumbai,Mobile,Fashion,42,Successful,0
TXN100051,2026-01-10,20:34,CUST1172,186.94,UPI,Money Transfer,Delhi,Desktop,Travel,62,Successful,0
TXN100052,2026-01-10,01:34,CUST1083,159.44,Credit Card,Subscription,Chennai,Mobile,Entertainment,55,Successful,0
TXN100053,2026-01-10,19:00,CUST1146,100.4,UPI,Money Transfer,Coimbatore,Tablet,Fashion,62,Successful,0
TXN100054,2026-01-10,14:39,CUST1120,241.83,UPI,ATM,Mumbai,Desktop,Grocery,37,Successful,0
TXN100055,2026-01-10,06:21,CUST1065,71.99,Wallet,Bill Payment,Kochi,Mobile,Electronics,61,Successful,0
TXN100056,2026-01-10,11:59,CUST1025,56.88,UPI,Money Transfer,Pune,Mobile,Entertainment,62,Failed,0
TXN100057,2026-01-11,07:28,CUST1027,368.54,Credit Card,Online Purchase,Mumbai,Desktop,Grocery,51,Successful,0
TXN100058,2026-01-11,14:07,CUST1135,336.21,Debit Card,Online Purchase,Kochi,Mobile,Entertainment,38,Successful,0
TXN100059,2026-01-11,02:10,CUST1172,49.03,Debit Card,Bill Payment,Chennai,Mobile,Utilities,65,Successful,0
TXN100060,2026-01-11,13:40,CUST1106,29.09,Credit Card,Bill Payment,Mumbai,Mobile,Travel,40,Successful,0
TXN100061,2026-01-11,16:36,CUST1157,66.11,UPI,Online Purchase,Kochi,Desktop,Utilities,23,Successful,0
TXN100062,2026-01-11,03:13,CUST1044,159.45,UPI,Online Purchase,Mumbai,Desktop,Grocery,30,Blocked,1
TXN100063,2026-01-12,17:59,CUST1107,574.99,Credit Card,Online Purchase,Mumbai,Mobile,Grocery,40,Successful,0
TXN100064,2026-01-12,07:29,CUST1036,155.59,UPI,Subscription,Pune,Mobile,Grocery,26,Successful,0
TXN100065,2026-01-12,03:34,CUST1147,83.99,UPI,Online Purchase,Kochi,Mobile,Food,34,Under Review,1
TXN100066,2026-01-12,01:20,CUST1006,210.31,UPI,Bill Payment,Kochi,Mobile,Travel,19,Successful,0
TXN100067,2026-01-12,05:36,CUST1153,161.74,UPI,Online Purchase,Coimbatore,Tablet,Entertainment,36,Successful,0
TXN100068,2026-01-13,21:04,CUST1159,45.56,UPI,Money Transfer,Chennai,Mobile,Grocery,36,Successful,0
TXN100069,2026-01-13,09:18,CUST1009,45.83,UPI,Online Purchase,Pune,Mobile,Grocery,24,Successful,0
TXN100070,2026-01-13,03:58,CUST1165,47.08,Credit Card,Online Purchase,Mumbai,Mobile,Entertainment,59,Successful,0
TXN100071,2026-01-13,21:13,CUST1155,2164.3,Debit Card,Bill Payment,Mumbai,Desktop,Utilities,59,Successful,0
TXN100072,2026-01-13,17:25,CUST1013,428.37,Net Banking,Online Purchase,Coimbatore,Mobile,Utilities,37,Successful,0
TXN100073,2026-01-13,11:03,CUST1041,100.11,UPI,Online Purchase,Chennai,Mobile,Grocery,26,Successful,0
TXN100074,2026-01-14,01:24,CUST1128,549.09,UPI,Online Purchase,Bengaluru,Mobile,Electronics,34,Failed,0
TXN100075,2026-01-14,09:44,CUST1066,102.71,UPI,Online Purchase,Pune,Mobile,Food,44,Successful,0
TXN100076,2026-01-14,03:41,CUST1085,531.22,Debit Card,Online Purchase,Coimbatore,Mobile,Utilities,64,Successful,0
TXN100077,2026-01-14,13:24,CUST1024,196.43,Debit Card,Online Purchase,Chennai,Mobile,Electronics,19,Failed,0
TXN100078,2026-01-14,15:17,CUST1044,93.8,UPI,ATM,Pune,Mobile,Food,53,Successful,0
TXN100079,2026-01-15,14:39,CUST1106,357.74,Wallet,Money Transfer,Mumbai,Tablet,Grocery,36,Blocked,1
TXN100080,2026-01-15,07:07,CUST1098,208.0,UPI,Bill Payment,Chennai,Desktop,Travel,34,Successful,0
TXN100081,2026-01-15,13:38,CUST1060,269.96,Credit Card,Online Purchase,Chennai,Tablet,Fashion,22,Successful,0
TXN100082,2026-01-15,22:39,CUST1009,224.87,Debit Card,Subscription,Delhi,Mobile,Fashion,56,Successful,0
TXN100083,2026-01-15,07:13,CUST1130,222.52,Net Banking,Bill Payment,Chennai,Tablet,Grocery,35,Successful,0
TXN100084,2026-01-15,20:31,CUST1056,403.65,Debit Card,Online Purchase,Bengaluru,Mobile,Utilities,24,Successful,0
TXN100085,2026-01-16,15:50,CUST1158,2401.4,Net Banking,Money Transfer,Chennai,Mobile,Electronics,34,Successful,0
TXN100086,2026-01-16,12:37,CUST1022,631.94,,Online Purchase,Bengaluru,Mobile,Travel,56,Successful,0
TXN100087,2026-01-16,17:32,CUST1081,225.8,Net Banking,Bill Payment,Mumbai,Mobile,Entertainment,53,Successful,0
TXN100088,2026-01-16,14:22,CUST1100,132.87,UPI,Bill Payment,Bengaluru,Mobile,Food,57,Successful,0
TXN100089,2026-01-16,20:14,CUST1013,148.3,Net Banking,ATM,Pune,Mobile,Grocery,62,Failed,0
TXN100090,2026-01-17,23:32,CUST1071,51.62,Credit Card,Bill Payment,Mumbai,Mobile,Travel,21,Successful,0
TXN100091,2026-01-17,12:24,CUST1016,352.32,Net Banking,Money Transfer,Mumbai,Mobile,Travel,55,Successful,0
TXN100092,2026-01-17,08:16,CUST1045,65.7,Credit Card,Subscription,Bengaluru,Mobile,Utilities,42,Successful,0
TXN100093,2026-01-17,14:32,CUST1065,124.9,Debit Card,Online Purchase,Kochi,Mobile,Food,22,Successful,0
TXN100094,2026-01-17,12:46,CUST1139,354.37,Credit Card,Online Purchase,Coimbatore,Mobile,Travel,47,Successful,0
TXN100095,2026-01-17,00:54,CUST1070,142.98,Debit Card,Bill Payment,Hyderabad,Desktop,Utilities,29,Successful,1
TXN100096,2026-01-18,06:01,CUST1148,110.8,UPI,Bill Payment,Kochi,Desktop,Electronics,21,Successful,0
TXN100097,2026-01-18,08:13,CUST1099,54.74,UPI,Bill Payment,Chennai,Mobile,Utilities,41,Successful,0
TXN100098,2026-01-18,23:52,CUST1191,605.06,UPI,Subscription,Delhi,Mobile,Electronics,46,Successful,0
TXN100099,2026-01-18,00:39,CUST1101,78.79,UPI,Money Transfer,Hyderabad,Mobile,Electronics,26,Under Review,1
TXN100100,2026-01-18,11:39,CUST1105,100.9,Net Banking,Money Transfer,Chennai,Desktop,Entertainment,21,Successful,0
TXN100101,2026-01-19,07:50,CUST1140,30.21,UPI,Online Purchase,Kochi,Mobile,Entertainment,41,Successful,0
TXN100102,2026-01-19,23:38,CUST1190,177.71,Wallet,ATM,Kochi,Mobile,Travel,31,Successful,0
TXN100103,2026-01-19,10:50,CUST1094,129.89,UPI,Subscription,Chennai,Mobile,Utilities,22,Successful,0
TXN100104,2026-01-19,18:05,CUST1042,217.43,UPI,ATM,Mumbai,Mobile,Entertainment,35,Successful,0
TXN100105,2026-01-19,16:05,CUST1083,56.0,Debit Card,Online Purchase,Chennai,Mobile,Electronics,59,Successful,0
TXN100106,2026-01-19,07:02,CUST1197,377.73,Debit Card,Money Transfer,Delhi,Desktop,Entertainment,36,Successful,0
TXN100107,2026-01-20,02:06,CUST1186,28.81,Credit Card,Online Purchase,Kochi,Mobile,Food,29,Successful,0
TXN100108,2026-01-20,02:50,CUST1133,165.31,Credit Card,Online Purchase,Chennai,Mobile,Travel,35,Successful,0
TXN100109,2026-01-20,00:07,CUST1105,203.46,Debit Card,Online Purchase,Bengaluru,Desktop,Utilities,34,Successful,1
TXN100110,2026-01-20,04:41,CUST1155,192.05,UPI,Money Transfer,Hyderabad,Desktop,Utilities,47,Successful,0
TXN100111,2026-01-20,09:51,CUST1028,212.25,Wallet,Money Transfer,Bengaluru,Mobile,Fashion,41,Successful,0
TXN100112,2026-01-21,06:14,CUST1026,398.88,Wallet,Online Purchase,Delhi,Mobile,Utilities,28,Successful,1
TXN100113,2026-01-21,08:46,CUST1116,681.77,Debit Card,Bill Payment,Chennai,Mobile,Travel,52,Successful,0
TXN100114,2026-01-21,06:28,CUST1049,155.15,UPI,Bill Payment,Pune,Tablet,Food,40,Successful,0
TXN100115,2026-01-21,08:32,CUST1149,68.87,Debit Card,Bill Payment,Delhi,Mobile,Utilities,34,Successful,0
TXN100116,2026-01-21,07:51,CUST1001,317.58,UPI,Online Purchase,Mumbai,Tablet,Fashion,18,Successful,0
TXN100117,2026-01-21,11:29,CUST1092,136.97,UPI,Bill Payment,Bengaluru,Mobile,Travel,32,Successful,0
TXN100118,2026-01-22,01:38,CUST1058,642.02,UPI,ATM,Bengaluru,Mobile,Electronics,49,Successful,0
TXN100119,2026-01-22,00:26,CUST1079,99.29,Credit Card,Online Purchase,Coimbatore,Mobile,Grocery,26,Successful,0
TXN100120,2026-01-22,15:35,CUST1183,76.86,Net Banking,Online Purchase,Chennai,Mobile,Grocery,32,Successful,0
TXN100121,2026-01-22,22:28,CUST1081,209.31,Debit Card,Bill Payment,Mumbai,Mobile,Electronics,45,Failed,0
TXN100122,2026-01-22,22:37,CUST1026,31.8,Debit Card,Subscription,Pune,Mobile,Entertainment,41,Successful,0
TXN100123,2026-01-22,23:56,CUST1153,113.59,Credit Card,Money Transfer,Bengaluru,Mobile,Utilities,52,Successful,0
TXN100124,2026-01-23,04:32,CUST1077,130.34,UPI,Money Transfer,Bengaluru,Tablet,Grocery,39,Under Review,1
TXN100125,2026-01-23,02:36,CUST1161,225.99,UPI,Bill Payment,Mumbai,Mobile,Entertainment,44,Successful,0
TXN100126,2026-01-23,11:26,CUST1072,66.94,Wallet,Money Transfer,Delhi,Mobile,Grocery,36,Successful,0
TXN100127,2026-01-23,07:54,CUST1069,75.23,UPI,Online Purchase,Delhi,Mobile,Electronics,62,Successful,0
TXN100128,2026-01-23,21:32,CUST1006,576.46,Net Banking,Money Transfer,Chennai,Mobile,Utilities,29,Successful,0
TXN100129,2026-01-24,02:03,CUST1023,178.85,Credit Card,Subscription,Kochi,Mobile,Utilities,37,Successful,0
TXN100130,2026-01-24,00:21,CUST1158,430.37,Credit Card,Money Transfer,Coimbatore,Mobile,Entertainment,18,Blocked,1
TXN100131,2026-01-24,02:01,CUST1054,105.45,Debit Card,ATM,Bengaluru,Tablet,Electronics,38,Blocked,1
TXN100132,2026-01-24,04:09,CUST1087,171.67,Credit Card,Money Transfer,Kochi,Mobile,Entertainment,62,Under Review,1
TXN100133,2026-01-24,14:04,CUST1011,224.65,Net Banking,Online Purchase,Kochi,Mobile,Utilities,18,Successful,0
TXN100134,2026-01-24,13:58,CUST1159,1040.6,Net Banking,Subscription,Coimbatore,Mobile,Utilities,27,Successful,0
TXN100135,2026-01-25,02:09,CUST1134,145.82,Credit Card,Online Purchase,Kochi,Mobile,Travel,64,Successful,0
TXN100136,2026-01-25,00:32,CUST1011,153.5,UPI,Money Transfer,Kochi,Mobile,Entertainment,49,Blocked,1
TXN100137,2026-01-25,04:53,CUST1077,543.57,Debit Card,Online Purchase,Delhi,Desktop,Travel,56,Under Review,1
TXN100138,2026-01-25,22:37,CUST1012,123.99,Net Banking,Online Purchase,Delhi,Desktop,Electronics,39,Successful,0
TXN100139,2026-01-25,13:12,CUST1194,240.96,UPI,Bill Payment,Hyderabad,Mobile,Food,35,Successful,0
TXN100140,2026-01-26,06:30,CUST1053,498.18,Debit Card,Online Purchase,Pune,Mobile,Grocery,65,Successful,0
TXN100141,2026-01-26,08:46,CUST1099,101.92,Debit Card,Bill Payment,Chennai,Mobile,Travel,63,Successful,0
TXN100142,2026-01-26,14:35,CUST1036,254.8,Debit Card,Money Transfer,Kochi,Mobile,Grocery,49,Successful,0
TXN100143,2026-01-26,14:44,CUST1145,1038.52,UPI,Online Purchase,Hyderabad,Mobile,Fashion,44,Successful,0
TXN100144,2026-01-26,09:23,CUST1028,455.46,Debit Card,Online Purchase,Pune,Mobile,Electronics,45,Successful,0
TXN100145,2026-01-26,12:51,CUST1150,241.03,Net Banking,Money Transfer,Hyderabad,Mobile,Food,35,Successful,0
TXN100146,2026-01-27,18:55,CUST1102,144.85,UPI,Bill Payment,Hyderabad,Mobile,Fashion,56,Successful,0
TXN100147,2026-01-27,06:14,CUST1007,99.06,UPI,Money Transfer,Chennai,Mobile,Fashion,46,Successful,0
TXN100148,2026-01-27,16:28,CUST1015,67.48,Wallet,Money Transfer,Chennai,Mobile,Utilities,35,Successful,0
TXN100149,2026-01-27,19:07,CUST1139,820.26,UPI,ATM,Mumbai,Mobile,Fashion,61,Successful,0
TXN100150,2026-01-27,03:04,CUST1024,675.51,Net Banking,Money Transfer,Coimbatore,Mobile,Electronics,25,Successful,1
TXN100151,2026-01-28,04:28,CUST1195,93.96,Credit Card,Bill Payment,Coimbatore,Desktop,Travel,48,Under Review,1
TXN100152,2026-01-28,22:46,CUST1030,254.09,UPI,Money Transfer,Mumbai,Mobile,Electronics,51,Successful,0
TXN100153,2026-01-28,06:03,CUST1198,202.62,Net Banking,Online Purchase,Mumbai,Mobile,Travel,24,Successful,0
TXN100154,2026-01-28,12:11,CUST1066,592.54,Credit Card,Online Purchase,Delhi,Mobile,Fashion,53,Successful,0
TXN100155,2026-01-28,14:44,CUST1061,265.82,Credit Card,ATM,Pune,Desktop,Fashion,35,Successful,0
TXN100156,2026-01-28,10:01,CUST1078,177.18,UPI,Bill Payment,Hyderabad,Mobile,Food,55,Successful,0
TXN100157,2026-01-29,03:26,CUST1041,105.46,Debit Card,ATM,Kochi,Mobile,Travel,26,Successful,0
TXN100158,2026-01-29,12:30,CUST1082,254.9,UPI,ATM,Mumbai,Mobile,Fashion,26,Successful,0
TXN100159,2026-01-29,06:50,CUST1051,127.97,UPI,ATM,Bengaluru,Desktop,Utilities,63,Successful,0
TXN100160,2026-01-29,18:50,CUST1172,226.03,Wallet,Subscription,Coimbatore,Tablet,Grocery,25,Successful,0
TXN100161,2026-01-29,21:35,CUST1095,168.01,UPI,Bill Payment,Mumbai,Mobile,Food,52,Successful,0
TXN100162,2026-01-30,01:35,CUST1013,124.9,Debit Card,Online Purchase,Bengaluru,Desktop,Electronics,35,Under Review,1
TXN100163,2026-01-30,09:25,CUST1090,68.53,UPI,Money Transfer,Bengaluru,Tablet,Food,22,Successful,0
TXN100164,2026-01-30,12:42,CUST1140,303.14,Debit Card,Bill Payment,Bengaluru,Desktop,Grocery,31,Successful,0
TXN100165,2026-01-30,20:26,CUST1082,189.16,UPI,Money Transfer,Delhi,Mobile,Travel,45,Successful,0
TXN100166,2026-01-30,05:04,CUST1009,1082.92,Wallet,Money Transfer,Delhi,Mobile,Electronics,47,Successful,0
TXN100167,2026-01-30,11:19,CUST1048,64.56,Credit Card,Money Transfer,Kochi,Mobile,Electronics,21,Successful,0
TXN100168,2026-01-31,11:10,CUST1049,338.76,UPI,Bill Payment,Kochi,Desktop,Travel,56,Successful,0
TXN100169,2026-01-31,19:09,CUST1053,166.89,UPI,Online Purchase,Bengaluru,Mobile,Entertainment,37,Successful,0
TXN100170,2026-01-31,10:39,CUST1184,1479.94,UPI,Bill Payment,Pune,Mobile,Entertainment,42,Successful,0
TXN100171,2026-01-31,22:37,CUST1040,313.87,Credit Card,Online Purchase,Delhi,Mobile,Food,45,Successful,0
TXN100172,2026-01-31,06:05,CUST1107,250.81,UPI,Subscription,Hyderabad,Desktop,Fashion,29,Successful,0
TXN100173,2026-01-31,00:07,CUST1024,167.32,Net Banking,Bill Payment,Bengaluru,Desktop,Entertainment,19,Under Review,1
TXN100174,2026-02-01,00:22,CUST1200,89.74,Credit Card,Online Purchase,Hyderabad,Mobile,Food,60,Successful,0
TXN100175,2026-02-01,19:46,CUST1108,247.5,UPI,Online Purchase,Hyderabad,Desktop,Entertainment,31,Successful,0
TXN100176,2026-02-01,12:25,CUST1033,45.5,Debit Card,Money Transfer,Bengaluru,Mobile,Grocery,39,Successful,0
TXN100177,2026-02-01,08:45,CUST1023,47.64,Debit Card,Money Transfer,Coimbatore,Desktop,Utilities,48,Successful,0
TXN100178,2026-02-01,02:42,CUST1077,498.92,UPI,Bill Payment,Pune,Mobile,Fashion,40,Successful,0
TXN100179,2026-02-02,06:11,CUST1054,31.12,UPI,Online Purchase,Bengaluru,Mobile,Food,65,Successful,0
TXN100180,2026-02-02,05:25,CUST1053,131.69,UPI,Bill Payment,Kochi,Desktop,Utilities,37,Failed,0
TXN100181,2026-02-02,07:12,CUST1049,63.49,Debit Card,Online Purchase,Bengaluru,Mobile,Utilities,55,Successful,0
TXN100182,2026-02-02,08:39,CUST1078,121.21,Debit Card,Money Transfer,Delhi,Desktop,Entertainment,21,Successful,0
TXN100183,2026-02-02,04:17,CUST1080,218.01,Credit Card,Money Transfer,Bengaluru,Mobile,Travel,32,Under Review,1
TXN100184,2026-02-02,00:24,CUST1177,485.2,Net Banking,Bill Payment,Coimbatore,Mobile,Grocery,41,Successful,0
TXN100185,2026-02-03,18:32,CUST1102,612.55,Net Banking,Online Purchase,Delhi,Mobile,Grocery,42,Successful,0
TXN100186,2026-02-03,09:46,CUST1122,72.32,Debit Card,Subscription,Kochi,Mobile,Grocery,18,Successful,0
TXN100187,2026-02-03,11:39,CUST1188,113.75,Net Banking,Bill Payment,Chennai,Mobile,Fashion,24,Successful,0
TXN100188,2026-02-03,23:59,CUST1103,10431.13,UPI,Money Transfer,Chennai,Mobile,Electronics,48,Successful,0
TXN100189,2026-02-03,14:42,CUST1090,141.17,UPI,Online Purchase,Hyderabad,Mobile,Fashion,29,Successful,0
TXN100190,2026-02-04,21:11,CUST1090,75.02,UPI,Bill Payment,Pune,Mobile,Food,59,Successful,0
TXN100191,2026-02-04,23:43,CUST1193,88.61,UPI,Online Purchase,Hyderabad,Tablet,Utilities,22,Successful,0
TXN100192,2026-02-04,08:35,CUST1160,142.0,Credit Card,Bill Payment,Coimbatore,Tablet,Utilities,61,Successful,0
TXN100193,2026-02-04,19:47,CUST1121,122.4,Wallet,Subscription,Mumbai,Mobile,Electronics,59,Successful,0
TXN100194,2026-02-04,16:03,CUST1149,143.4,UPI,Bill Payment,Kochi,Desktop,Food,55,Successful,0
TXN100195,2026-02-04,16:04,CUST1146,177.43,UPI,Online Purchase,Pune,Mobile,Electronics,29,Successful,0
TXN100196,2026-02-05,19:55,CUST1060,176.2,Credit Card,Online Purchase,Kochi,Mobile,Utilities,56,Successful,0
TXN100197,2026-02-05,11:36,CUST1122,69.72,Wallet,Bill Payment,Chennai,Desktop,Entertainment,35,Successful,0
TXN100198,2026-02-05,06:07,CUST1141,262.26,UPI,Online Purchase,Hyderabad,Tablet,Fashion,19,Successful,0
TXN100199,2026-02-05,01:41,CUST1152,204.6,Credit Card,Online Purchase,Kochi,Mobile,Grocery,27,Successful,0
TXN100200,2026-02-05,02:48,CUST1030,297.85,UPI,ATM,Chennai,Desktop,Utilities,32,Successful,1
TXN100201,2026-02-06,16:27,CUST1130,32.64,UPI,Bill Payment,Coimbatore,Mobile,Travel,47,Successful,0
TXN100202,2026-02-06,04:30,CUST1083,212.05,Wallet,Online Purchase,Coimbatore,Tablet,Grocery,61,Blocked,1
TXN100203,2026-02-06,16:57,CUST1111,24.89,Wallet,Subscription,Mumbai,Mobile,Utilities,34,Successful,0
TXN100204,2026-02-06,23:08,CUST1108,152.08,UPI,Online Purchase,Kochi,Mobile,Fashion,21,Successful,0
TXN100205,2026-02-06,16:53,CUST1111,350.0,Wallet,Subscription,,Mobile,Electronics,24,Successful,0
TXN100206,2026-02-06,16:50,CUST1025,515.83,Debit Card,Online Purchase,Delhi,Mobile,Entertainment,58,Successful,0
TXN100207,2026-02-07,01:28,CUST1050,253.27,Net Banking,Subscription,Pune,Mobile,Entertainment,48,Blocked,1
TXN100208,2026-02-07,01:13,CUST1014,356.16,Credit Card,Money Transfer,Kochi,Tablet,Grocery,56,Under Review,1
TXN100209,2026-02-07,21:39,CUST1134,134.42,Credit Card,ATM,Coimbatore,Mobile,Fashion,51,Successful,0
TXN100210,2026-02-07,22:40,CUST1076,108.94,Credit Card,Subscription,Hyderabad,Mobile,Entertainment,23,Successful,0
TXN100211,2026-02-07,04:21,CUST1084,2677.82,Debit Card,Online Purchase,Chennai,Mobile,Entertainment,55,Successful,0
TXN100212,2026-02-08,00:10,CUST1087,414.54,UPI,Subscription,Bengaluru,Mobile,Food,62,Successful,0
TXN100213,2026-02-08,00:22,CUST1158,56.09,UPI,Bill Payment,Mumbai,Mobile,Travel,51,Successful,0
TXN100214,2026-02-08,18:00,CUST1030,31.99,UPI,Bill Payment,Bengaluru,Mobile,Grocery,61,Successful,0
TXN100215,2026-02-08,01:45,CUST1166,113.86,Debit Card,Bill Payment,Kochi,Mobile,Electronics,32,Successful,0
TXN100216,2026-02-08,20:36,CUST1058,596.97,UPI,Money Transfer,Hyderabad,Mobile,Entertainment,31,Successful,0
TXN100217,2026-02-08,11:20,CUST1094,190.33,Debit Card,Online Purchase,Mumbai,Mobile,Food,23,Successful,0
TXN100218,2026-02-09,05:25,CUST1041,20.0,Wallet,Money Transfer,Bengaluru,Desktop,Fashion,54,Blocked,1
TXN100219,2026-02-09,22:45,CUST1094,151.82,UPI,Money Transfer,Pune,Desktop,Entertainment,49,Successful,0
TXN100220,2026-02-09,03:35,CUST1057,180.84,Debit Card,ATM,Hyderabad,Mobile,Travel,20,Successful,0
TXN100221,2026-02-09,22:53,CUST1164,20.0,Credit Card,ATM,Chennai,Mobile,Electronics,20,Successful,0
TXN100222,2026-02-09,10:22,CUST1064,185.71,Net Banking,Bill Payment,Pune,Mobile,Fashion,39,Failed,0
